STATE,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,DRUNK_DR
1,10001,1,127,0,1,1,2015,5,2,40,3,SR-5,,1754,33.87865278,-87.32532778,0,99,99,2,58,88,88,1
1,10002,1,83,0,1,1,2015,5,22,13,1,I-65,,3604,34.91044167,-86.90870833,0,99,99,22,20,88,88,0
1,10003,2,11,0,1,1,2015,5,1,25,2,US-SR 6,,1958,32.14200556,-85.75845556,0,99,99,1,45,99,99,1
1,10004,1,45,0,4,1,2015,1,0,57,3,SR-27,,566,31.43981389,-85.5103,0,99,99,1,15,88,88,1
1,10005,2,45,2050,7,1,2015,4,7,9,2,US-SR 53,HINTON WATERS AVE,308,31.31933056,-85.5151,0,99,99,7,16,88,88,0
1,10006,2,111,0,8,1,2015,5,9,59,4,CR-82,,0,33.43849444,-85.38926667,0,99,99,10,17,99,99,0
1,10007,2,89,1730,8,1,2015,5,18,33,2,US-SR 2,,1030,34.77304444,-86.52766389,0,99,99,18,38,99,99,0
1,10008,1,73,350,3,1,2015,7,21,30,6,ISHKOODA RD SW,,0,33.46248889,-86.87090556,0,99,99,21,48,99,99,0
1,10009,1,117,47,13,1,2015,3,8,0,2,US-SR 3,,2520,33.2361,-86.81392222,0,99,99,8,3,88,88,0
1,10010,2,33,0,5,1,2015,2,18,45,3,SR-184,,34,34.75836667,-87.60750833,0,99,99,19,1,99,99,0
1,10011,2,83,0,7,1,2015,4,20,55,3,SR-2,,809,34.76602778,-86.87921111,0,99,99,21,20,88,88,0
1,10012,6,95,1500,9,1,2015,6,6,35,2,US-SR 1,,2944,34.36911667,-86.28887778,0,99,99,6,41,99,99,0
1,10013,1,87,0,10,1,2015,7,10,55,4,CR-54,,0,32.55177222,-85.74464444,0,88,88,88,88,88,88,1
1,10014,1,11,0,11,1,2015,1,6,13,2,US-SR 15,,1454,32.16270833,-85.71402778,0,99,99,6,29,88,88,1
1,10015,1,127,0,11,1,2015,1,8,30,4,CR-BYLER RD,,0,33.96415,-87.60569722,0,99,99,8,55,88,88,0
1,10016,2,81,2340,13,1,2015,3,17,20,3,SR-51,,0,32.61823889,-85.37138333,0,99,99,17,30,99,99,0
1,10017,1,97,0,14,1,2015,4,14,40,4,CR-IRVINGTON BAYOU LABATRE HWY,,0,30.50592778,-88.233925,0,99,99,14,50,99,99,0
1,10018,2,1,0,16,1,2015,6,19,15,4,CR-40,,0,32.52434444,-86.67211944,0,99,99,19,35,99,99,1
1,10019,1,121,0,19,1,2015,2,1,0,4,CR-ODENA ROAD N,,0,33.22930833,-86.26927778,0,88,88,88,88,88,88,0
1,10020,3,121,2910,15,1,2015,5,17,10,6,EASTABOGA RD,HWY 275,0,33.46581111,-86.04999167,0,99,99,17,18,99,99,0
1,10021,4,115,0,23,1,2015,6,13,48,1,I-20,,1446,33.56601667,-86.52102222,0,99,99,14,5,99,99,0
1,10022,2,127,0,26,1,2015,2,6,15,1,I-22,,585,33.84021944,-87.33155833,0,99,99,6,30,99,99,0
1,10023,1,11,0,12,1,2015,2,21,20,3,SR-110,,210,32.21718333,-85.91875,0,99,99,21,25,88,88,1
1,10024,1,5,0,2,1,2015,6,6,0,4,CR-32,,0,31.83945278,-85.2207,0,99,99,6,25,99,99,0
1,10025,2,125,0,15,1,2015,5,3,5,4,CR-HOLLEY SPRINGS LANE,,0,33.08890556,-87.67459722,0,88,88,88,88,88,88,1
1,10026,1,73,2052,13,1,2015,3,13,33,6,ALLISON-BONNETT MEMORIAL DR,FAIRFIELD BLVD,0,33.46460556,-86.941675,0,99,99,13,42,88,88,0
1,10027,3,3,2890,17,1,2015,7,14,42,4,CR-BALDWIN BEACH EXPRESS,CR-32,0,30.47271111,-87.66633056,0,99,99,14,47,99,99,0
1,10028,1,1,2540,10,1,2015,7,0,31,3,SR-14,,0,32.43066389,-86.51791667,0,99,99,0,40,88,88,1
1,10029,1,69,0,23,1,2015,6,5,40,2,US-SR 12,THOMPSON RD,2228,31.16130833,-85.19056111,0,99,99,5,52,88,88,0
1,10030,5,21,0,24,1,2015,7,13,15,3,SR-22,,784,32.78083333,-86.4702,0,99,99,13,35,88,88,0
1,10031,1,93,0,24,1,2015,7,16,38,4,CR-69,ATKINSON RD,0,33.92139167,-87.86725,0,99,99,16,51,99,99,0
1,10032,1,15,0,25,1,2015,1,6,20,4,CR-ALEXANDRIA WELLINGTON HWY,,0,33.74095278,-85.88291667,0,99,99,6,30,88,88,1
1,10033,2,123,60,23,1,2015,6,21,22,6,CR-40,,0,32.87644722,-85.87761667,0,99,99,21,28,88,88,1
1,10034,10,3,860,15,1,2015,5,14,27,2,US-SR 16,JUBILEE PKWY,448,30.65515556,-87.90710278,0,99,99,14,36,99,99,1
1,10035,2,73,20,28,1,2015,4,9,25,2,US-SR 5,HACKWORTH RD,1410,33.58196667,-86.92233333,0,99,99,9,30,99,99,0
1,10036,5,97,0,19,1,2015,2,14,25,2,US-SR 17,,142,30.85440833,-88.19383056,0,99,99,14,41,99,99,0
1,10037,1,3,0,26,1,2015,2,14,40,4,CR-OAK LN,,0,30.73176944,-87.78450833,0,99,99,14,59,99,99,0
1,10038,1,97,2100,27,1,2015,3,16,50,6,GULFDALE DR,,0,30.612125,-88.07764444,0,99,99,16,55,99,99,0
1,10039,1,97,0,29,1,2015,5,0,50,3,SR-HAMILTON BLVD,,12,30.55205833,-88.10484722,0,99,99,0,55,88,88,1
1,10040,1,73,350,20,1,2015,3,15,57,6,CAHABA RIVER ROAD,,0,33.43090833,-86.71233333,0,99,99,16,1,99,99,0
1,10041,1,49,0,28,1,2015,4,21,10,4,CR-130,,0,34.37793333,-85.75579167,0,99,99,21,30,99,99,1
1,10042,2,125,0,31,1,2015,7,18,45,2,US-SR 6,DALLIE DR,593,33.10606944,-87.46706944,0,99,99,19,5,88,88,0
1,10043,1,49,0,2,2,2015,2,3,20,4,CR-27,,0,34.51033611,-85.76049444,0,88,88,88,88,88,88,0
1,10044,2,73,1716,31,1,2015,7,3,10,1,I-459,,0,33.39817778,-86.77766944,0,99,99,3,14,99,99,0
1,10045,1,97,2100,31,1,2015,7,8,19,1,I-10,,200,30.62482222,-88.12466111,0,8,28,8,36,8,47,0
1,10046,1,17,1830,8,2,2015,1,2,15,1,I-85,,790,32.84681944,-85.18687778,0,99,99,2,24,99,99,0
1,10047,2,97,2100,22,1,2015,5,0,7,6,S WASHINGTON AVE,,0,30.66823611,-88.05437222,0,99,99,0,11,99,99,1
